2023-08-22 20:09:48.949 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:09:48.955 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:48.955 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:48.956 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:52.408 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:09:52.410 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:52.411 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:52.413 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:55.886 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:09:55.888 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:55.889 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:55.890 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:15.470 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:10:15.476 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:15.477 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:15.478 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:38.507 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:10:38.512 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:38.513 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:10:38.514 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-26 13:47:23.094 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-26 13:47:23.102 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-26 13:47:23.102 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-26 13:47:23.106 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-26 13:48:21.209 | ERROR    | logs_system:post:44 - Invalid token
2023-08-26 13:48:21.218 | INFO     | logs_system:post:45 - Invalid token
2023-08-26 13:48:21.218 | WARNING  | logs_system:post:47 - Invalid token
2023-08-26 13:48:21.219 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-26 22:30:06.384 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-26 22:30:06.391 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-26 22:30:06.391 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-26 22:30:06.392 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-26 22:31:08.066 | ERROR    | logs_system:post:44 - Invalid token
2023-08-26 22:31:08.074 | INFO     | logs_system:post:45 - Invalid token
2023-08-26 22:31:08.075 | WARNING  | logs_system:post:47 - Invalid token
2023-08-26 22:31:08.078 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-26 22:31:47.617 | ERROR    | logs_system:post:44 - Invalid token
2023-08-26 22:31:47.627 | INFO     | logs_system:post:45 - Invalid token
2023-08-26 22:31:47.628 | WARNING  | logs_system:post:47 - Invalid token
2023-08-26 22:31:47.628 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-26 22:32:04.529 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-26 22:32:04.533 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-26 22:32:04.534 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
